Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,75-79 years,75-79,651,4276338,15.2
,1999,1999,Cervix Uteri,27010,80-84 years,80-84,429,3039863,14.1
,1999,1999,Cervix Uteri,27010,85+ years,85+,410,2918829,14
,2000,2000,Cervix Uteri,27010,15-19 years,15-19,23,9710015,0.2
,2000,2000,Cervix Uteri,27010,20-24 years,20-24,159,9217075,1.7
,2000,2000,Cervix Uteri,27010,25-29 years,25-29,691,9412771,7.3
,2000,2000,Cervix Uteri,27010,30-34 years,30-34,1246,10075949,12.4
,2000,2000,Cervix Uteri,27010,35-39 years,35-39,1696,11220940,15.1
,2000,2000,Cervix Uteri,27010,40-44 years,40-44,1930,11212451,17.2
,2000,2000,Cervix Uteri,27010,45-49 years,45-49,1635,10139929,16.1
,2000,2000,Cervix Uteri,27010,50-54 years,50-54,1385,8966667,15.4
,2000,2000,Cervix Uteri,27010,55-59 years,55-59,1055,6922269,15.2
,2000,2000,Cervix Uteri,27010,60-64 years ,60-64,959,5620799,17.1
,2000,2000,Cervix Uteri,27010,65-69 years,65-69,865,5057099,17.1
,2000,2000,Cervix Uteri,27010,70-74 years,70-74,727,4885847,14.9
,2000,2000,Cervix Uteri,27010,75-79 years,75-79,599,4327077,13.8
,2000,2000,Cervix Uteri,27010,80-84 years,80-84,511,3090837,16.5
,2000,2000,Cervix Uteri,27010,85+ years,85+,411,2983941,13.8
,2001,2001,Cervix Uteri,27010,15-19 years,15-19,21,9797025,0.2
,2001,2001,Cervix Uteri,27010,20-24 years,20-24,136,9567089,1.4
,2001,2001,Cervix Uteri,27010,25-29 years,25-29,635,9208824,6.9
,2001,2001,Cervix Uteri,27010,30-34 years,30-34,1259,10166748,12.4
,2001,2001,Cervix Uteri,27010,35-39 years,35-39,1602,11035791,14.5
,2001,2001,Cervix Uteri,27010,40-44 years,40-44,1905,11390611,16.7
,2001,2001,Cervix Uteri,27010,45-49 years,45-49,1597,10404182,15.3
,2001,2001,Cervix Uteri,27010,50-54 years,50-54,1385,9449057,14.7
,2001,2001,Cervix Uteri,27010,55-59 years,55-59,1045,7138713,14.6
,2001,2001,Cervix Uteri,27010,60-64 years ,60-64,861,5773027,14.9
,2001,2001,Cervix Uteri,27010,65-69 years,65-69,808,5080378,15.9
,2001,2001,Cervix Uteri,27010,70-74 years,70-74,682,4858423,14
